21/03/2023
IdBahan      Jenis        HargaPerKg    JumlahAwal      JumlahAkhir      IdPenjual
2176Q        Padi          6400.0          12.0            12.0            1001A    
3614V        Padi          9000.0          19.0            1.0             1001A    
5755A        Padi          7000.0          18.0            8.0             1001A    
8229V        Padi          7000.0          15.0            3.0             1001A    
3360Q        Jagung        8400.0          13.0            2.0             1001A    
1638J        Jagung        7000.0          20.0            20.0            1001A    
4195I        Jagung        8000.0          16.0            16.0            1001A    
5784Q        Kedelai       9000.0          14.0            14.0            1001A    
1178H        Kedelai       9000.0          21.0            12.0            1001A    
9044O        Kedelai       12000.0         17.0            7.0             1001A    
